바코드	바코드	브랜드	시리즈	패밀리	펫네임	저장용량	모델명	상 태	색 상
CRJ8M0055287T	0055287	삼성	S 시리즈	S24	S24 Plus	256GB	SM-S926N	개봉(S)	마블 그레이
CRK5M0064022E	0064022	삼성	S 시리즈	S24	S24 Plus	256GB	SM-S926N	개봉(S)	앰버 옐로우
5072034	5072034	삼성	A 시리즈	A	A15	128GB	SM-A155N	개봉(S)	블루 블랙
5072558	5072558	삼성	A 시리즈	A	A15	128GB	SM-A155N	개봉(S)	블루 블랙
5072718	5072718	삼성	A 시리즈	A	A15	128GB	SM-A155N	개봉(S)	블루 블랙
5081349	5081349	삼성	A 시리즈	A	A15	128GB	SM-A155N	개봉(S)	블루 블랙
5081552	5081552	삼성	A 시리즈	A	A15	128GB	SM-A155N	개봉(S)	블루 블랙
5081997	5081997	삼성	A 시리즈	A	A15	128GB	SM-A155N	개봉(S)	블루 블랙
5082009	5082009	삼성	A 시리즈	A	A15	128GB	SM-A155N	개봉(S)	블루 블랙
5082161	5082161	삼성	A 시리즈	A	A15	128GB	SM-A155N	개봉(S)	블루 블랙
5082296	5082296	삼성	A 시리즈	A	A15	128GB	SM-A155N	개봉(S)	블루 블랙
5082392	5082392	삼성	A 시리즈	A	A15	128GB	SM-A155N	개봉(S)	블루 블랙
CSGCM0040058L	0040058	삼성	S 시리즈	S25	S25 Ultra	256GB	SM-S938N	개봉(S)	티타늄 화이트실버
CSBYM00419754	0041975	삼성	S 시리즈	S25	S25 Plus	256GB	SM-S936N	개봉(S)	민트
CSGCM0040259O	0040259	삼성	S 시리즈	S25	S25 Ultra	256GB	SM-S938N	개봉(S)	티타늄 화이트실버
CSGCM0040246K	0040246	삼성	S 시리즈	S25	S25 Ultra	256GB	SM-S938N	개봉(S)	티타늄 화이트실버
CSGCM0042172K	0042172	삼성	S 시리즈	S25	S25 Ultra	256GB	SM-S938N	개봉(S)	티타늄 화이트실버
CSGCM0041212E	0041212	삼성	S 시리즈	S25	S25 Ultra	256GB	SM-S938N	개봉(S)	티타늄 화이트실버
CSGCM0039993.	0039993	삼성	S 시리즈	S25	S25 Ultra	256GB	SM-S938N	개봉(S)	티타늄 화이트실버
CSGCM0042166N	0042166	삼성	S 시리즈	S25	S25 Ultra	256GB	SM-S938N	개봉(S)	티타늄 화이트실버
CR32M01386547	0138654	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	그라파이트
CR32M0169697I	0169697	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	그라파이트
CR2LM0136677S	0136677	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	민트
CR2LM0133987T	0133987	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	민트
CR2LM0135557O	0135557	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	민트
0173654A	0173654A	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	민트
CR2LM0134247J	0134247	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	민트
CR3AM0118085B	0118085	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	크림
CSAYM03582083	0358208	삼성	S 시리즈	S25	S25	256GB	SM-S931N	미개봉	실버 쉐도우
CSAYM03582465	0358246	삼성	S 시리즈	S25	S25	256GB	SM-S931N	미개봉	실버 쉐도우
CSAYM0358203+	0358203	삼성	S 시리즈	S25	S25	256GB	SM-S931N	미개봉	실버 쉐도우
CSAYM03581431	0358143	삼성	S 시리즈	S25	S25	256GB	SM-S931N	미개봉	실버 쉐도우
CSAYM0358230+	0358230	삼성	S 시리즈	S25	S25	256GB	SM-S931N	미개봉	실버 쉐도우
CSAYM0313181.	0313181	삼성	S 시리즈	S25	S25	256GB	SM-S931N	미개봉	실버 쉐도우
CSAYM0358011	0358011	삼성	S 시리즈	S25	S25	256GB	SM-S931N	미개봉	실버 쉐도우
CRY7M0184471+	0184471	삼성	Z 시리즈	Z플립	Z플립6	256GB	SM-F741N	개봉(B)	블루
CR32M0138223%	0138223	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	그라파이트
CR32M01390823	0139082	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	미개봉	그라파이트
CR32M01383331	0138333	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	그라파이트
CR2LM0134732I	0134732	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	민트
CR2LM0134917N	0134917	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	민트
CR2LM0139565R	0139565	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	민트
CR3AM0117894I	0117894	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	크림
CR3AM01191369	0119136	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	크림
CR3AM01190111	0119011	삼성	Z 시리즈	Z플립	Z플립5	256GB	SM-F731N	개봉(S)	크림
CRWMM0091258B	0091258	삼성	Z 시리즈	Z폴드	Z폴드6	256GB	SM-F956N	개봉(S)	네이비
CSP8M5110105M	5110105	삼성	S 시리즈	S25	S25 Edge	256GB	SM-S937N	미개봉	티타늄 실버
CSP0M5092624T	5092624	삼성	S 시리즈	S25	S25 Edge	256GB	SM-S937N	미개봉	티타늄 아이스블루
CSP0M5096777%	5096777	삼성	S 시리즈	S25	S25 Edge	256GB	SM-S937N	미개봉	티타늄 아이스블루
CSP4M5098850/	5098850	삼성	S 시리즈	S25	S25 Edge	256GB	SM-S937N	미개봉	티타늄 제트블랙
CSP4M5106841U	5106841	삼성	S 시리즈	S25	S25 Edge	256GB	SM-S937N	미개봉	티타늄 제트블랙
0059519A	0059519A	삼성	S 시리즈	S25	S25	256GB	SM-S931N	개봉(S)	민트
CSACM0065208J	0065208	삼성	S 시리즈	S25	S25	256GB	SM-S931N	개봉(S)	아이스블루
0092008A	0092008A	삼성	Z 시리즈	Z폴드	Z폴드6	256GB	SM-F956N	개봉(S)	네이비
CRWMM01007194	0100719	삼성	Z 시리즈	Z폴드	Z폴드6	256GB	SM-F956N	개봉(S)	네이비
CRWMM0091718C	0091718	삼성	Z 시리즈	Z폴드	Z폴드6	256GB	SM-F956N	개봉(S)	네이비
CRWZM0090028I	0090028	삼성	Z 시리즈	Z폴드	Z폴드6	256GB	SM-F956N	개봉(S)	핑크
CRWZM0089766Z	0089766	삼성	Z 시리즈	Z폴드	Z폴드6	256GB	SM-F956N	개봉(S)	핑크
0186542	0186542	삼성	Z 시리즈	Z플립	Z플립6	256GB	SM-F741N	개봉(S)	블루
0187505	0187505	삼성	Z 시리즈	Z플립	Z플립6	256GB	SM-F741N	개봉(S)	블루
0187483	0187483	삼성	Z 시리즈	Z플립	Z플립6	256GB	SM-F741N	개봉(S)	블루
0209782	0209782	삼성	Z 시리즈	Z플립	Z플립6	256GB	SM-F741N	개봉(S)	블루
0188778	0188778	삼성	Z 시리즈	Z플립	Z플립6	256GB	SM-F741N	개봉(S)	블루
0188871	0188871	삼성	Z 시리즈	Z플립	Z플립6	256GB	SM-F741N	개봉(S)	블루
0189885	0189885	삼성	Z 시리즈	Z플립	Z플립6	256GB	SM-F741N	개봉(S)	블루
0186829	0186829	삼성	Z 시리즈	Z플립	Z플립6	256GB	SM-F741N	개봉(S)	블루
0187566	0187566	삼성	Z 시리즈	Z플립	Z플립6	256GB	SM-F741N	개봉(S)	블루
