site,kind,ctgr,seq,upPpnCd,devKdCd,ppnCd,detail_url
uplusumobile,usim,SPCL,559,YOUNG_LTE,003,LPZ1005270,https://www.uplusumobile.com/product/pric/pricDetail?seq=559&upPpnCd=YOUNG_LTE&devKdCd=003
uplusumobile,usim,SPCL,561,YOUNG_LTE,003,LPZ1005390,https://www.uplusumobile.com/product/pric/pricDetail?seq=561&upPpnCd=YOUNG_LTE&devKdCd=003
uplusumobile,usim,SPCL,562,YOUNG_LTE,003,LPZ1005392,https://www.uplusumobile.com/product/pric/pricDetail?seq=562&upPpnCd=YOUNG_LTE&devKdCd=003
uplusumobile,usim,SPCL,563,YOUNG_LTE,003,LPZ1005393,https://www.uplusumobile.com/product/pric/pricDetail?seq=563&upPpnCd=YOUNG_LTE&devKdCd=003
uplusumobile,usim,SPCL,560,YOUNG_LTE,003,LPZ1005272,https://www.uplusumobile.com/product/pric/pricDetail?seq=560&upPpnCd=YOUNG_LTE&devKdCd=003
uplusumobile,usim,SPCL,564,YOUNG_5G,003,LPZ1005391,https://www.uplusumobile.com/product/pric/pricDetail?seq=564&upPpnCd=YOUNG_5G&devKdCd=003
uplusumobile,usim,SPCL,565,YOUNG_5G,003,LPZ1005394,https://www.uplusumobile.com/product/pric/pricDetail?seq=565&upPpnCd=YOUNG_5G&devKdCd=003
uplusumobile,usim,SPCL,537,ezlKpass,003,LPZ1003065,https://www.uplusumobile.com/product/pric/pricDetail?seq=537&upPpnCd=ezlKpass&devKdCd=003
uplusumobile,usim,SPCL,538,ezlKpass,003,LPZ1001481,https://www.uplusumobile.com/product/pric/pricDetail?seq=538&upPpnCd=ezlKpass&devKdCd=003
uplusumobile,usim,SPCL,539,ezlKpass,003,LPZ1001487,https://www.uplusumobile.com/product/pric/pricDetail?seq=539&upPpnCd=ezlKpass&devKdCd=003
uplusumobile,usim,SPCL,540,ezlKpass,003,LPZ0018077,https://www.uplusumobile.com/product/pric/pricDetail?seq=540&upPpnCd=ezlKpass&devKdCd=003
uplusumobile,usim,SPCL,541,ezlKpass,003,LPZ1004302,https://www.uplusumobile.com/product/pric/pricDetail?seq=541&upPpnCd=ezlKpass&devKdCd=003
uplusumobile,usim,SPCL,547,PLUSALPHA,003,LPZ1004875,https://www.uplusumobile.com/product/pric/pricDetail?seq=547&upPpnCd=PLUSALPHA&devKdCd=003
uplusumobile,usim,SPCL,535,PLUSALPHA,003,LPZ1004293,https://www.uplusumobile.com/product/pric/pricDetail?seq=535&upPpnCd=PLUSALPHA&devKdCd=003
uplusumobile,usim,SPCL,566,PLUSALPHA,003,LPZ1005395,https://www.uplusumobile.com/product/pric/pricDetail?seq=566&upPpnCd=PLUSALPHA&devKdCd=003
uplusumobile,usim,SPCL,536,PLUSALPHA,003,LPZ1004294,https://www.uplusumobile.com/product/pric/pricDetail?seq=536&upPpnCd=PLUSALPHA&devKdCd=003
uplusumobile,usim,SPCL,542,hywill_LTE,003,LPZ1004290,https://www.uplusumobile.com/product/pric/pricDetail?seq=542&upPpnCd=hywill_LTE&devKdCd=003
uplusumobile,usim,SPCL,545,hywill_LTE,003,LPZ1004873,https://www.uplusumobile.com/product/pric/pricDetail?seq=545&upPpnCd=hywill_LTE&devKdCd=003
uplusumobile,usim,SPCL,546,hywill_LTE,003,LPZ1004874,https://www.uplusumobile.com/product/pric/pricDetail?seq=546&upPpnCd=hywill_LTE&devKdCd=003
uplusumobile,usim,SPCL,543,hywill_LTE,003,LPZ1004298,https://www.uplusumobile.com/product/pric/pricDetail?seq=543&upPpnCd=hywill_LTE&devKdCd=003
uplusumobile,usim,SPCL,544,hywill_LTE,003,LPZ1004921,https://www.uplusumobile.com/product/pric/pricDetail?seq=544&upPpnCd=hywill_LTE&devKdCd=003
