site,kind,ctgr,seq,ctgrId,hpPpnSeq,hpPpnCd,upPpnCd,devKdCd,sbscTypCd2,sbscTypCd3,feeName,feeType,title,feature_vol,feature_limit,feature_supply,price_origin,price_discount,chips,speed_toplist,speed_data_guide,detail_url,list_url
uplusumobile,usim,LTE,368,003,368,LPZ0019119,U007,003,U,E,LTE (10GB/100분),USIM/ESIM,LTE (10GB/100분),10GB,100분,100건,32400,9900,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=368&upPpnCd=U007&devKdCd=003,
uplusumobile,usim,LTE,347,003,347,LPZ0018662,U006,003,U,E,LTE (9GB/3000분),USIM/ESIM,LTE (9GB/3000분),9GB,3000분,1000건,37800,12500,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=347&upPpnCd=U006&devKdCd=003,
uplusumobile,usim,LTE,276,003,276,LPZ0017595,U003,003,U,E,LTE (5GB/300분),USIM/ESIM,LTE (5GB/300분),5GB,300분,100건,27500,10120,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=276&upPpnCd=U003&devKdCd=003,
uplusumobile,usim,LTE,278,003,278,LPZ0017602,U002,003,U,E,LTE (2.5GB/200분),USIM/ESIM,LTE (2.5GB/200분),2.5GB,200분,100건,20900,6500,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=278&upPpnCd=U002&devKdCd=003,
uplusumobile,usim,LTE,285,003,285,LPZ0017732,U001,003,U,E,LTE (1.5GB/150분),USIM/ESIM,LTE (1.5GB/150분),1.5GB,150분,100건,12100,4900,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=285&upPpnCd=U001&devKdCd=003,
uplusumobile,usim,LTE,163,003,163,LPZ0015578,U001,003,U,E,LTE (1GB/60분),USIM/ESIM,LTE (1GB/60분),1GB,60분,100건,10500,3900,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=163&upPpnCd=U001&devKdCd=003,
uplusumobile,usim,LTE,300,003,300,LPZ0017823,U001,003,U,E,LTE (500MB/60분),USIM/ESIM,LTE (500MB/60분),500MB,60분,50건,7400,3300,,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=300&upPpnCd=U001&devKdCd=003,
uplusumobile,usim,SPCL,577,003,577,LPZ1006240,GS25_LTE,003,U,E,GS25 (150GB+/통화기본),USIM/ESIM,GS25 (150GB+/통화기본),일5GB,기본제공,기본제공,64000,40100,GS25,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=577&upPpnCd=GS25_LTE&devKdCd=003,
uplusumobile,usim,SPCL,578,003,578,LPZ1006242,GS25_LTE,003,U,E,GS25 (71GB+/통화기본),USIM/ESIM,GS25 (71GB+/통화기본),11GB+일2GB,기본제공,기본제공,58790,34900,GS25,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=578&upPpnCd=GS25_LTE&devKdCd=003,
uplusumobile,usim,SPCL,579,003,579,LPZ1006244,GS25_LTE,003,U,E,GS25 (25GB+/100분),USIM/ESIM,GS25 (25GB+/100분),(15+10)GB,100분,100건,52800,28900,GS25,,,https://www.uplusumobile.com/product/pric/pricDetail?seq=579&upPpnCd=GS25_LTE&devKdCd=003,
