plan_name,월 기본료,24개월 약정가격,data_raw,data_gb,voice_raw,sms_raw,scraped_at,price1_won,price2_won,price3_won,price3_raw,price1_label,price2_label,price3_label
데이터플러스 4.5,"34,650원","34,650원",4.5GB,4.5,150분,-건,2025-09-02T13:24:32.289255,34650,34650.0,,,월 기본료,기본료(24개월 약정 시),
청소년 52000링,"46,200원","11,550원",1.5GB,1.5,2.5링/초,기본,2025-09-02T13:24:32.289255,46200,11550.0,,,월 기본료,기본료(24개월 약정 시),
청소년 34000링,"37,400원","7,700원",750MB,0.732,2.5링/초,1000건,2025-09-02T13:24:32.289255,37400,7700.0,,,월 기본료,기본료(24개월 약정 시),
청소년 28000링,"26,400원","1,650원",500MB,0.488,2.5링/초,1000건,2025-09-02T13:24:32.289255,26400,1650.0,,,월 기본료,기본료(24개월 약정 시),
통화기본·데이터 300MB,"31,790원","31,790원",300MB,0.293,기본,기본,2025-09-02T13:24:32.289255,31790,31790.0,,,월 기본료,기본료(24개월 약정 시),
통화기본·데이터 1.3GB,"36,190원","36,190원",1.3GB,1.3,기본,기본,2025-09-02T13:24:32.289255,36190,36190.0,,,월 기본료,기본료(24개월 약정 시),
통화기본·데이터 2.3GB,"40,590원","40,590원",2.3GB,2.3,기본,기본,2025-09-02T13:24:32.289255,40590,40590.0,,,월 기본료,기본료(24개월 약정 시),
통화기본·데이터 6.6GB,"50,490원","50,490원",6.6GB,6.6,기본,기본,2025-09-02T13:24:32.289255,50490,50490.0,,,월 기본료,기본료(24개월 약정 시),
가성비 좋은 5G (180GB+),"74,900원","74,900원",180GB,180.0,기본,기본,2025-09-02T13:24:32.289255,74900,74900.0,,,월 기본료,기본료(24개월 약정 시),
가성비 좋은 5G (9GB+),"49,900원","49,900원",9GB,9.0,기본,기본,2025-09-02T13:24:32.289255,49900,49900.0,,,월 기본료,기본료(24개월 약정 시),
